City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Haines Junction,60.7522,-137.5108,263.54,97,48,0.86,CA,1675904917
82,Barcelona,41.3888,2.159,281.88,68,20,4.12,ES,1675904844
83,Arraial Do Cabo,-22.9661,-42.0278,296.98,87,100,2.8,BR,1675904918
84,Longyearbyen,78.2186,15.6401,268.06,86,100,8.75,SJ,1675904919
85,Cockburn Town,21.4612,-71.1419,298.29,77,0,11.01,TC,1675904919
86,Saskylakh,71.9167,114.0833,231.75,99,53,2.76,RU,1675904920
87,Promyshlennaya,54.9159,85.6385,252.68,100,91,0.95,RU,1675904920
88,Vao,-22.6667,167.4833,299.49,81,100,6.88,NC,1675904921
89,Verkh-Chebula,56.0308,87.6218,256.84,97,100,1.74,RU,1675904921
90,Takaungu,-3.6837,39.8566,298.68,81,96,3.04,KE,1675904922
91,Laguna,38.421,-121.4238,290.14,53,0,2.57,US,1675904923
92,Mehamn,71.0357,27.8492,277.12,65,100,21.61,NO,1675904924
93,Khatanga,71.9667,102.5,230.21,100,59,1.96,RU,1675904925
94,Thompson,55.7435,-97.8558,256.99,95,67,2.4,CA,1675904925
95,Port Alfred,-33.5906,26.891,292.69,98,100,1.39,ZA,1675904926
96,Cayenne,4.9333,-52.3333,298.17,94,75,4.63,GF,1675904926
97,Mitsamiouli,-11.3847,43.2844,300.13,80,84,2.94,KM,1675904927
98,Sorland,67.667,12.6934,275.52,83,100,5.44,NO,1675904927
99,Neklyudovo,56.4114,43.9814,268.14,98,94,1.39,RU,1675904928
100,Chumikan,54.7183,135.315,243.9,85,24,7.18,RU,1675904929
101,Castro,-24.7911,-50.0119,290.02,79,0,2.2,BR,1675904929
102,Vaini,-21.2,-175.2,302.24,74,75,4.12,TO,1675904930
103,Leningradskiy,69.3833,178.4167,245.36,95,100,2.26,RU,1675904931
104,Ayan,56.45,138.1667,246.4,68,70,2.49,RU,1675904931
105,Havre-Saint-Pierre,50.2334,-63.5986,262.35,62,0,9.77,CA,1675904931
106,Seoul,37.5683,126.9778,273.81,66,0,1.54,KR,1675904726
107,Airai,-8.9266,125.4092,293.32,77,100,1.84,TL,1675904932
108,Aden,12.7794,45.0367,297.51,72,0,1.83,YE,1675904922
109,Berlevag,70.8578,29.0864,277.15,60,100,21.09,NO,1675904933
110,Vila Franca Do Campo,37.7167,-25.4333,286.38,72,95,4.45,PT,1675904933
111,Norman Wells,65.282,-126.8329,251.54,96,100,1.25,CA,1675904934
112,Kisangani,0.5167,25.2,293.92,84,68,1.31,CD,1675904935
113,Antsohihy,-14.8796,47.9875,295.2,96,100,1.09,MG,1675904936
114,Tasiilaq,65.6145,-37.6368,258.24,54,92,3.95,GL,1675904936
115,Hurghada,27.2574,33.8129,285.98,63,100,6.81,EG,1675904937
116,Bengkulu,-3.8004,102.2655,298.27,74,100,1.43,ID,1675904938
117,Rapid Valley,44.0625,-103.1463,277.26,79,100,6.69,US,1675904790
118,Passo De Camaragibe,-9.2368,-35.4901,297.9,81,98,1.66,BR,1675904939
119,Ponta Delgada,37.7333,-25.6667,286.55,62,75,3.6,PT,1675904939
120,San Quintin,30.4833,-115.95,289.2,40,0,3.89,MX,1675904940
121,Petropavlovsk-Kamchatskiy,53.0452,158.6483,261.48,62,20,2.0,RU,1675904940
122,Republic,37.12,-93.4802,283.81,85,100,2.57,US,1675904941
123,Esperance,-33.8667,121.9,292.94,67,55,5.33,AU,1675904942
124,Camacha,33.0833,-16.3333,284.83,76,40,5.14,PT,1675904942
125,Matveyevka,52.15,56.1833,257.75,96,100,1.87,RU,1675904943
126,Sinnamary,5.3833,-52.95,297.56,89,100,5.16,GF,1675904944
127,Komsomolskiy,40.4272,71.7189,275.55,80,100,2.06,UZ,1675904944
128,Ahipara,-35.1667,173.1667,294.27,60,38,4.81,NZ,1675904945
129,Avarua,-21.2078,-159.775,302.18,74,54,5.66,CK,1675904487
130,Cabo San Lucas,22.8909,-109.9124,296.76,35,0,0.0,MX,1675904651
131,Hami,42.8,93.45,272.6,49,100,2.69,CN,1675904946
132,Griffith,41.5284,-87.4237,277.11,76,75,1.54,US,1675904749
133,Orbetello,42.4408,11.2196,275.43,65,65,4.24,IT,1675904947
134,Djambala,-2.5447,14.7533,295.26,81,99,1.22,CG,1675904948
135,Arona,28.0996,-16.681,287.5,67,75,2.57,ES,1675904949
